0.0330819,1.42154
0.0863371,1.31983
0.120523,1.42154
0.150946,1.83321
0.183941,1.83321
0.217501,1.67286
0.251385,1.67286
0.285179,1.77888
0.318924,1.92107
0.352755,1.9727
0.387183,1.9727
0.4206,1.9727
0.469723,2.10328
0.519617,2.2159
0.555496,2.10328
0.58972,2.2159
0.622185,2.33452
0.656739,2.33452
0.689856,2.33452
0.722506,2.1371
0.748173,2.30375
0.77455,2.19084
0.807036,2.30375
0.839267,2.19084
0.872383,2.40354
0.905733,2.05244
0.940412,2.19642
0.974599,2.19642
1.00797,2.19642
1.04102,1.90554
1.07371,1.90554
1.10737,1.88479
1.1411,1.97038
1.17472,1.8094
1.20808,1.97038
1.2407,1.68046
1.27388,1.68046
1.30734,1.68046
1.34207,1.57651
1.3757,1.46237
1.40855,1.46237
1.44449,1.46237
1.47806,1.49623
0.0421025,1.37686
0.101198,1.37686
0.134113,1.48638
0.167195,1.59769
0.201304,1.62442
0.235062,1.62442
0.268165,1.62442
0.301686,1.70585
0.335223,1.77082
0.368584,1.77082
0.402656,1.87704
0.436424,1.77444
0.470553,1.87704
0.503889,2.01033
0.538055,2.01033
0.571753,2.10274
0.604336,2.10274
0.637625,2.13185
0.670747,2.17694
0.704679,2.13185
0.73785,2.17694
0.771194,2.01119
0.805399,2.10904
0.838891,2.10904
0.871839,2.10904
0.905191,2.32541
0.938685,2.32541
0.972609,2.32541
1.00614,2.40874
1.03957,1.75799
1.07328,2.40874
1.10669,1.76947
1.14035,1.76947
1.17405,1.76947
1.20742,1.96103
1.24096,1.96103
1.27446,1.96103
1.30789,1.52878
1.34127,1.76369
1.375,1.45182
1.41016,1.56801
1.44358,1.45961
1.47622,1.45961
0.0323684,1.39854
0.0817686,1.22696
0.115581,1.39854
0.149114,1.37476
0.182396,1.54083
0.218352,1.37476
0.252136,1.85474
0.283402,1.36861
0.317055,1.71847
0.350556,1.71847
0.38436,1.71847
0.418074,1.85432
0.452361,1.66111
0.486606,2.13175
0.518886,1.895
0.552098,1.97918
0.585924,1.96529
0.619343,1.97918
0.653094,2.02227
0.686967,2.03814
0.720746,2.03814
0.753357,2.03814
0.786301,1.95006
0.82026,1.88799
0.853871,1.88799
0.887113,1.8611
0.92065,2.08273
0.954673,2.03511
0.988101,2.03511
1.02109,1.9768
1.05453,1.94275
1.08835,1.94275
1.1217,2.01033
1.15516,2.01033
1.19146,1.62644
1.22528,1.62644
1.25663,1.72249
1.28946,1.72249
1.32274,1.65283
1.35641,1.65283
1.38957,1.62933
1.42424,1.5001
1.45836,1.47962
0.033277,1.29715
0.0845295,1.29715
0.118383,1.37014
0.152483,1.37014
0.186364,1.37014
0.218291,1.56352
0.250854,1.60245
0.284573,1.61521
0.318606,1.61521
0.352229,1.61521
0.385409,1.71978
0.419567,1.71978
0.453491,1.71685
0.486171,1.71685
0.519675,1.86813
0.553434,1.86813
0.587707,1.86846
0.620958,2.05016
0.653992,2.05016
0.687673,2.05016
0.720839,2.09142
0.754216,2.09142
0.787837,2.23439
0.821582,1.70839
0.855737,2.20019
0.888988,1.85981
0.922032,1.952
0.955603,1.952
0.989348,1.952
1.02339,2.03995
1.0582,1.83115
1.09124,2.03995
1.12334,1.91385
1.15685,1.91385
1.19028,1.88025
1.22601,1.84166
1.26042,1.64485
1.29185,1.64485
1.32452,1.64485
1.3576,2.0128
1.39296,1.50645
1.42741,1.64826
1.46002,1.48519
0.0334209,1.27705
0.0839986,1.27705
0.117692,1.37
0.150497,1.41434
0.183378,1.45051
0.216746,1.48654
0.250602,1.48654
0.284339,1.71778
0.317877,1.47003
0.351414,1.71778
0.386319,1.69641
0.420026,1.83725
0.452432,1.69641
0.486036,1.9739
0.519563,1.70377
0.552908,1.9739
0.586139,1.96189
0.619577,1.96189
0.653565,1.90922
0.687471,1.90922
0.720424,2.02759
0.753891,2.02759
0.787513,2.01375
0.820745,2.01375
0.854099,2.01375
0.887765,2.00808
0.92122,2.00808
0.955688,2.00808
0.989638,2.06196
1.02223,1.80948
1.05559,2.02442
1.08929,1.80948
1.12267,1.89084
1.15574,1.89084
1.18981,1.89084
1.22339,1.81004
1.2562,1.81004
1.28998,1.58455
1.31569,1.51487
1.34878,1.47745
1.39057,1.49813
1.4249,1.47745
1.45824,1.33153
0.0336246,1.62903
0.0841073,1.62903
0.117554,1.77765
0.150989,1.85532
0.18706,1.77765
0.221885,1.85532
0.253054,1.98187
0.2846,2.11568
0.318173,1.98204
0.351946,1.98204
0.384859,1.98204
0.418489,1.93482
0.4523,2.02297
0.486451,1.9711
0.519793,2.02297
0.55302,2.02097
0.587072,2.02097
0.621177,2.02097
0.654991,2.02416
0.688459,2.02416
0.721562,2.02416
0.754974,2.00995
0.788176,2.02401
0.820922,1.94876
0.854792,1.97378
0.888883,1.79567
0.922596,1.88763
0.956138,1.6203
0.992014,1.69473
1.02577,1.69473
1.0568,1.69473
1.08948,1.69955
1.12289,1.6623
1.15841,1.57447
1.19214,1.55745
1.22463,1.55745
1.25787,1.23823
1.29142,1.22354
1.32521,1.18074
1.35827,1.11515
1.39158,1.0036
1.42484,1.0036
1.45874,0.832525
0.0325981,1.2599
0.082468,1.07271
0.11653,1.2599
0.149699,1.13401
0.182788,1.25181
0.218766,1.25181
0.252901,1.44819
0.283774,1.67141
0.317301,1.68859
0.351256,1.68859
0.384187,1.69233
0.417654,1.79281
0.451499,1.9918
0.485404,1.9918
0.518932,1.9918
0.552341,1.92746
0.585595,2.05876
0.619189,1.92746
0.652762,2.14113
0.686414,1.89659
0.720139,2.07229
0.753719,1.89659
0.787177,2.07229
0.821274,1.93456
0.855325,1.97883
0.888538,1.97883
0.921711,1.98767
0.972043,2.0315
1.02267,2.00067
1.05574,2.0315
1.08957,2.00067
1.12381,1.8603
1.15705,1.8603
1.18978,1.8603
1.22329,1.85407
1.25703,1.85407
1.2909,1.58273
1.32437,1.83126
1.3581,1.58273
1.39223,1.46252
1.42539,1.46252
1.45827,1.44839
0.0503395,1.17269
0.117045,1.17269
0.149943,1.34216
0.183291,1.36114
0.216819,1.36114
0.250825,1.46316
0.284421,1.47069
0.319098,1.48117
0.352694,1.49981
0.384736,1.57763
0.418671,1.63083
0.453208,1.63083
0.489297,1.67909
0.521855,1.85529
0.554272,1.85529
0.588874,1.85529
0.622308,1.91736
0.656067,1.95279
0.689216,1.91736
0.722818,2.03
0.756039,2.03
0.791121,2.03
0.825515,2.09979
0.857639,2.00464
0.890273,2.04952
0.923941,2.00464
0.957625,1.97777
0.990582,1.94087
1.02418,1.97777
